Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Namibia,Africa,2556091,12935,,133,,11036,,1766,3,5060,52,127359,49826,Africa
Mozambique,Africa,31540517,12869,,92,,10437,,2340,,408,3,188511,5977,Africa
Uganda,Africa,46208919,12495,,111,,7503,,4881,,270,2,549158,11884,Africa
Guinea,Africa,13248911,12072,,72,,10550,,1450,24,911,5,42137,3180,Africa
Maldives,Asia,543688,11659,,38,,10814,,807,12,21444,70,150743,277260,South-EastAsia
DRC,Africa,90444861,11306,,307,,10585,,414,,125,3,,,Africa
Tajikistan,Asia,9607927,11017,,82,,10233,,702,,1147,9,,,Europe
Angola,Africa,33197657,10805,,284,,4523,,5998,45,325,9,85213,2567,Africa
Sri Lanka,Asia,21443410,10663,,20,,4399,,6244,,497,0.9,500736,23352,South-EastAsia
French Guiana,South America,301210,10536,,70,,9995,,471,3,34979,232,74591,247638,
Jamaica,North America,2965508,9094,,206,,4510,,4378,4,3067,69,95809,32308,Americas
Haiti,North America,11448759,9057,,232,,7429,,1396,,791,20,32176,2810,Americas
Gabon,Africa,2242937,8968,,55,,8698,,215,3,3998,25,240328,107149,Africa
Cabo Verde,Africa,557999,8793,,95,,7981,,717,23,15758,170,94729,169766,Africa
Zimbabwe,Africa,14934664,8367,,243,,7894,,230,,560,16,163656,10958,Africa
Mauritania,Africa,4689543,7703,,163,,7433,,107,3,1643,35,87552,18670,Africa
